거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
서울상사,PP9MMPP9M／M10KG(투명),6,116.4,48.6,350.0,2025-12-19,31,65.4,불규칙
TIGERPAK PACKAGING,"15 x 1,000M 0.7T H/D Black15 x 1,000M 0.7T H/D Black",7,117.2,57.0,1343.63,2025-12-25,25,65.3,불규칙
신광포장기계,PP11MM*14KG삼성경량밴드2300m*두께0.84mm단중5.8g GRS,9,38.9,13.8,177.34,2025-05-09,255,65.2,휴면
주식회사 에이스팩,스트레치필름(일반 기계랩)18*500mm*2000m,7,32.5,3.8,22.14,2024-08-08,529,65.1,휴면
대상산업,PE28mm 2kgPE28M／M(청)2KG,17,42.4,27.7,92.94,2025-12-09,41,65.1,불규칙
경인팩,PP15MPP15M／M9.5KG(적색),6,95.4,36.7,460.75,2025-11-12,68,65.0,불규칙
(주)한국유니콤,PE28mm 2kgPE28M／M(백)2KG,2,164.0,0.0,200.0,2025-07-03,200,65.0,휴면
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"15 x 1,000M 0.65T Blue15x1,000M0.65T청색",2,198.0,0.0,810.0,2025-07-01,202,64.9,휴면
신광포장기계,PP15MPP15MM*10KG(황색),55,13.0,8.4,476.0,2025-12-04,46,64.9,불규칙
주식회사청아판지팩,PE28mm 2kgPE28M／M(백)2KG,5,157.5,43.7,168.0,2025-09-25,116,64.8,불규칙
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,PP 05MM05MM x 7000 x 0.50MM White,5,114.5,39.7,4183.2,2025-11-27,53,64.8,불규칙
우선산업,"PE50mm, 4.7KGPE50M／M(백)4.7KG",22,20.0,7.2,940.0,2025-03-12,313,64.8,휴면
주식회사 고양물산,마대,7,105.2,50.1,274.57,2025-12-05,45,64.7,불규칙
주식회사 광림파워팩,PP9MMPP9MMx9.2kg 황,7,113.0,53.4,925.29,2025-12-01,49,64.7,불규칙
