,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
에그조아,11,9,196.8,193.5,92.8,90,384,2020-02-19 0:00,2024-06-11 0:00,1574,480.22,1510333,규칙적
현대테크,11,9,103.2,116,63.2,7,174,2023-06-12 0:00,2025-09-15 0:00,826,868.75,1693625,불규칙적
(주)진송팩,11,4,18.7,12,13.9,6,38,2025-09-16 0:00,2025-11-11 0:00,56,264,553200,불규칙적
엠앤씨케미칼,10,9,158.5,145,102.7,53,352,2010-04-07 0:00,2013-09-26 0:00,1268,24.67,72778,불규칙적
오익플라스틱,10,9,377.1,417.5,218.6,28,798,2016-06-23 0:00,2024-09-26 0:00,3017,386.67,829000,불규칙적
명신물산,10,4,27,15,20.6,10,56,2013-06-17 0:00,2013-09-06 0:00,81,405.33,1283347,불규칙적
성은지관산업,10,10,213.1,180,94.4,88,381,2017-08-09 0:00,2022-11-09 0:00,1918,205,386750,규칙적
HI-TECH PACKAGING LTD.,9,9,226.2,240.5,98.9,77,403,2016-01-09 0:00,2020-12-23 0:00,1810,1584.13,3929604,규칙적
송탄농업협동조합,9,6,221.8,142,202.7,11,571,2010-03-29 0:00,2013-04-11 0:00,1109,3108.33,6599167,불규칙적
HAZEL PRODUCTS,9,1,,,,,,2014-10-16 0:00,2014-10-16 0:00,0,428.6,865291,N/A
하스콥스,9,4,399,335,99.8,322,540,2020-12-07 0:00,2024-03-18 0:00,1197,170.25,1361625,규칙적
주식회사 두손포장,9,8,270.3,120,208.2,63,666,2020-09-01 0:00,2025-11-06 0:00,1892,100,287500,불규칙적
주식회사 경신전선,9,7,28,10.5,28.4,7,84,2017-12-22 0:00,2018-06-08 0:00,168,310,1088800,불규칙적
(주)경일포장,9,9,86,75.5,27.2,48,122,2010-02-03 0:00,2011-12-23 0:00,688,311.11,616778,규칙적
